Nome,Posição,Naturalidade,Clube,Idade
Giuliano Galoppo,Meia atacante,Argentina,São Paulo Futebol Clube,24
James Rodríguez,Meia atacante,Colombia,São Paulo Futebol Clube,32
Michel Araújo,Meia atacante,Uruguay,São Paulo Futebol Clube,27
Wellington Rato,Meia atacante,Brazil,São Paulo Futebol Clube,31
Marcos Paulo,Meia esquerdo,Portugal,São Paulo Futebol Clube,22
David,Meia esquerdo,Brazil,São Paulo Futebol Clube,28
Lucas Moura,Meia direito,Brazil,São Paulo Futebol Clube,31
Jonathan Calleri,Centroavante,Argentina,São Paulo Futebol Clube,30
Erison,Centroavante,Brazil,São Paulo Futebol Clube,24
Luciano,Centroavante,Brazil,São Paulo Futebol Clube,30
Juan,Centroavante,Brazil,São Paulo Futebol Clube,21
Alexandre Pato,Centroavante,Brazil,São Paulo Futebol Clube,34
Bento,Goleiro,Brazil,Club Athletico Paranaense,24
Mycael,Goleiro,Brazil,Club Athletico Paranaense,19
Léo Linck,Goleiro,Brazil,Club Athletico Paranaense,22
Gabriel Pereira,Goleiro,Brazil,Club Athletico Paranaense,21
Zé Ivaldo,Zagueiro,Brazil,Club Athletico Paranaense,26
Pedro Henrique,Zagueiro,Brazil,Club Athletico Paranaense,28
Matheus Felipe,Zagueiro,Brazil,Club Athletico Paranaense,24
Kaique Rocha,Zagueiro,Brazil,Club Athletico Paranaense,22
Thiago Heleno,Zagueiro,Brazil,Club Athletico Paranaense,35
Cacá,Zagueiro,Brazil,Club Athletico Paranaense,24
Lucas Esquivel,Lateral esquerdo,Argentina,Club Athletico Paranaense,22
Fernando,Lateral esquerdo,Brazil,Club Athletico Paranaense,24
Vinicius Kauê,Lateral esquerdo,Brazil,Club Athletico Paranaense,20
Bruno Peres,Lateral direito,Brazil,Club Athletico Paranaense,33
Madson,Lateral direito,Brazil,Club Athletico Paranaense,31
Erick,Volante,Brazil,Club Athletico Paranaense,25
Hugo Moura,Volante,Brazil,Club Athletico Paranaense,25
Fernandinho,Volante,Brazil,Club Athletico Paranaense,38
Christian,Meia,Brazil,Club Athletico Paranaense,22
Alex Santana,Meia,Brazil,Club Athletico Paranaense,28
Arturo Vidal,Meia,Chile,Club Athletico Paranaense,36
Bruno Zapelli,Meia atacante,Argentina,Club Athletico Paranaense,21
Vitor Bueno,Meia atacante,Brazil,Club Athletico Paranaense,29
Thiago Andrade,Meia esquerdo,Brazil,Club Athletico Paranaense,22
Tomás Cuello,Meia esquerdo,Argentina,Club Athletico Paranaense,23
Agustín Canobbio,Meia direito,Uruguay,Club Athletico Paranaense,25
Marcelo Cirino,Meia direito,Brazil,Club Athletico Paranaense,31
Emersonn,Meia direito,Brazil,Club Athletico Paranaense,19
Vitor Roque,Centroavante,Brazil,Club Athletico Paranaense,18
Rômulo,Centroavante,Brazil,Club Athletico Paranaense,21
Luciano Arriagada,Centroavante,Chile,Club Athletico Paranaense,21
Pablo,Centroavante,Brazil,Club Athletico Paranaense,31
Willian,Centroavante,Brazil,Club Athletico Paranaense,36
Matheus Donelli,Goleiro,Brazil,Sport Club Corinthians Paulista,21
Carlos Miguel,Goleiro,Brazil,Sport Club Corinthians Paulista,25
Cássio,Goleiro,Brazil,Sport Club Corinthians Paulista,36
Lucas Veríssimo,Zagueiro,Brazil,Sport Club Corinthians Paulista,28
Bruno Méndez,Zagueiro,Uruguay,Sport Club Corinthians Paulista,24
Caetano,Zagueiro,Brazil,Sport Club Corinthians Paulista,24
Gil,Zagueiro,Brazil,Sport Club Corinthians Paulista,36
Renato Santos,Zagueiro,Brazil,Sport Club Corinthians Paulista,19
Matheus Bidu,Lateral esquerdo,Brazil,Sport Club Corinthians Paulista,24
Fábio Santos,Lateral esquerdo,Brazil,Sport Club Corinthians Paulista,38
Fagner,Lateral direito,Brazil,Sport Club Corinthians Paulista,34
Rafael Ramos,Lateral direito,Portugal,Sport Club Corinthians Paulista,28
Fausto Vera,Volante,Argentina,Sport Club Corinthians Paulista,23
Roni,Volante,Brazil,Sport Club Corinthians Paulista,24
Gabriel Moscardo,Volante,Brazil,Sport Club Corinthians Paulista,18
Víctor Cantillo,Volante,Colombia,Sport Club Corinthians Paulista,30
Maycon,Meia,Brazil,Sport Club Corinthians Paulista,26
Matheus Araújo,Meia,Brazil,Sport Club Corinthians Paulista,21
Renato Augusto,Meia,Brazil,Sport Club Corinthians Paulista,35
Giuliano,Meia,Brazil,Sport Club Corinthians Paulista,33
Paulinho,Meia,Brazil,Sport Club Corinthians Paulista,35
Ruan Oliveira,Meia,Brazil,Sport Club Corinthians Paulista,23
Matías Rojas,Meia atacante,Paraguay,Sport Club Corinthians Paulista,27
Pedro,Meia esquerdo,Brazil,Sport Club Corinthians Paulista,17
Wesley,Meia esquerdo,Brazil,Sport Club Corinthians Paulista,18
Ángel Romero,Meia esquerdo,Paraguay,Sport Club Corinthians Paulista,31
Biro,Meia direito,Brazil,Sport Club Corinthians Paulista,19
Gustavo Mosquito,Meia direito,Brazil,Sport Club Corinthians Paulista,26
Yuri Alberto,Centroavante,Brazil,Sport Club Corinthians Paulista,22
Giovane,Centroavante,Brazil,Sport Club Corinthians Paulista,19
Felipe Augusto,Centroavante,Brazil,Sport Club Corinthians Paulista,19
Everson,Goleiro,Brazil,Clube Atlético Mineiro,33
Matheus Mendes,Goleiro,Brazil,Clube Atlético Mineiro,24
Gabriel Delfim,Goleiro,Brazil,Clube Atlético Mineiro,21
Igor Rabello,Zagueiro,Brazil,Clube Atlético Mineiro,28
Bruno Fuchs,Zagueiro,Brazil,Clube Atlético Mineiro,24
Jemerson,Zagueiro,Brazil,Clube Atlético Mineiro,31
Mauricio Lemos,Zagueiro,Uruguay,Clube Atlético Mineiro,27
Réver,Zagueiro,Brazil,Clube Atlético Mineiro,38
Guilherme Arana,Lateral esquerdo,Brazil,Clube Atlético Mineiro,26
Rubens,Lateral esquerdo,Brazil,Clube Atlético Mineiro,22
Renzo Saravia,Lateral direito,Argentina,Clube Atlético Mineiro,30
Mariano,Lateral direito,Brazil,Clube Atlético Mineiro,37
Otávio,Volante,Brazil,Clube Atlético Mineiro,29
Rodrigo Battaglia,Volante,Argentina,Clube Atlético Mineiro,32
Alan Franco,Meia,Ecuador,Clube Atlético Mineiro,25
Patrick,Meia,Brazil,Clube Atlético Mineiro,31
Edenilson,Meia,Brazil,Clube Atlético Mineiro,33
Matías Zaracho,Meia atacante,Argentina,Clube Atlético Mineiro,25
Igor Gomes,Meia atacante,Brazil,Clube Atlético Mineiro,24
Hyoran,Meia atacante,Brazil,Clube Atlético Mineiro,30
Paulinho,Meia esquerdo,Brazil,Clube Atlético Mineiro,23
Cristian Pavón,Meia esquerdo,Argentina,Clube Atlético Mineiro,27
Pedrinho,Meia direito,Brazil,Clube Atlético Mineiro,25
Hulk,Centroavante,Brazil,Clube Atlético Mineiro,37
Eduardo Vargas,Centroavante,Chile,Clube Atlético Mineiro,33
Alan Kardec,Centroavante,Brazil,Clube Atlético Mineiro,34
Isaac,Centroavante,Brazil,Clube Atlético Mineiro,19
Cadu,Centroavante,Brazil,Clube Atlético Mineiro,19
Pedro Rangel,Goleiro,Brazil,Fluminense Football Club,23
Fábio,Goleiro,Brazil,Fluminense Football Club,43
Vitor Eudes,Goleiro,Brazil,Fluminense Football Club,24
Nino,Zagueiro,Brazil,Fluminense Football Club,26
Marlon,Zagueiro,Brazil,Fluminense Football Club,28
Vitor Mendes,Zagueiro,Brazil,Fluminense Football Club,24
Manoel,Zagueiro,Brazil,Fluminense Football Club,33
Felipe Melo,Zagueiro,Brazil,Fluminense Football Club,40
David Braz,Zagueiro,Brazil,Fluminense Football Club,36
Marcelo,Lateral esquerdo,Brazil,Fluminense Football Club,35
Jorge,Lateral esquerdo,Brazil,Fluminense Football Club,27
Diogo Barbosa,Lateral esquerdo,Brazil,Fluminense Football Club,31
Guga,Lateral direito,Brazil,Fluminense Football Club,25
Samuel Xavier,Lateral direito,Brazil,Fluminense Football Club,33
André,Volante,Brazil,Fluminense Football Club,22
Alexsander,Volante,Brazil,Fluminense Football Club,20
Caio Vinicius,Volante,Brazil,Fluminense Football Club,24
Thiago Santos,Volante,Brazil,Fluminense Football Club,34
Martinelli,Meia,Brazil,Fluminense Football Club,22
Daniel,Meia,Brazil,Fluminense Football Club,27
Jhon Arias,Left Midfield,Colombia,Fluminense Football Club,26
Leonardo Fernández,Meia atacante,Uruguay,Fluminense Football Club,24
Lima,Meia atacante,Brazil,Fluminense Football Club,27
Ganso,Meia atacante,Brazil,Fluminense Football Club,34
Keno,Meia esquerdo,Brazil,Fluminense Football Club,34
Giovanni,Meia direito,Brazil,Fluminense Football Club,21
Yony González,Meia direito,Colombia,Fluminense Football Club,29
John Kennedy,Centroavante,Brazil,Fluminense Football Club,21
Germán Cano,Centroavante,Argentina,Fluminense Football Club,35
Lelê,Centroavante,Brazil,Fluminense Football Club,26
Kauã Elias,Centroavante,Brazil,Fluminense Football Club,17
